((11, 5, 3, 15), (13, 14, 4, 10), (8, 12, 9, 2), (6, 16, 1, 7))
((14, 7, 3, 8), (4, 2, 1, 12), (13, 5, 16, 6), (11, 9, 10, 15))
((13, 4, 5, 9), (2, 1, 11, 6), (8, 10, 3, 14), (12, 16, 15, 7))
((14, 9, 10, 12), (7, 8, 3, 1), (13, 2, 15, 11), (5, 6, 16, 4))
((6, 5, 12, 16), (7, 3, 15, 11), (4, 13, 8, 14), (1, 10, 9, 2))
((14, 10, 9, 4), (12, 2, 16, 6), (7, 13, 11, 1), (15, 5, 3, 8))
((15, 12, 4, 1), (11, 7, 8, 9), (13, 6, 14, 3), (10, 16, 5, 2))
((12, 15, 9, 14), (8, 6, 10, 5), (3, 2, 7, 1), (13, 16, 4, 11))
((14, 15, 1, 9), (4, 5, 2, 10), (12, 3, 8, 6), (11, 13, 7, 16))
((16, 6, 15, 8), (9, 14, 2, 3), (10, 11, 13, 5), (7, 12, 1, 4))
((1, 14, 16, 6), (9, 15, 12, 5), (3, 11, 13, 8), (2, 4, 10, 7))
((10, 6, 13, 14), (2, 15, 16, 3), (5, 4, 12, 1), (11, 7, 8, 9))
((14, 8, 11, 12), (16, 15, 10, 3), (7, 9, 13, 4), (5, 1, 6, 2))
((12, 5, 8, 15), (11, 14, 1, 10), (7, 3, 16, 9), (6, 4, 13, 2))
((2, 12, 6, 10), (1, 15, 7, 3), (9, 4, 8, 13), (14, 11, 16, 5))
((14, 12, 10, 11), (4, 9, 1, 5), (16, 7, 13, 15), (6, 8, 3, 2))
((10, 1, 15, 9), (2, 12, 7, 13), (8, 16, 14, 3), (6, 4, 11, 5))
((12, 6, 9, 7), (16, 11, 4, 10), (15, 1, 3, 5), (14, 2, 8, 13))
((12, 15, 16, 10), (1, 8, 9, 13), (4, 5, 7, 3), (11, 6, 2, 14))
((6, 4, 13, 3), (1, 5, 14, 12), (10, 9, 15, 2), (7, 8, 11, 16))
